"id","country_id:id","name","code"
state_sv_01,base.sv,"Ahuachapán","01"
state_sv_02,base.sv,"Santa Ana","02"
state_sv_03,base.sv,"Sonsonate","03"
state_sv_04,base.sv,"Chalatenango","04"
state_sv_05,base.sv,"La Libertad","05"
state_sv_06,base.sv,"San Salvador","06"
state_sv_07,base.sv,"Cuscatlán","07"
state_sv_08,base.sv,"La Paz","08"
state_sv_09,base.sv,"Cabañas","09"
state_sv_10,base.sv,"San Vicente","10"
state_sv_11,base.sv,"Usulután","11"
state_sv_12,base.sv,"San Miguel","12"
state_sv_13,base.sv,"Morazán","13"
state_sv_14,base.sv,"La Unión","14"
